x1,name_id,x1500,x5000,mile,x800,x8k
160,John_Quinn.html,239,NA,261,117,1543
161,Joseph_Simeone.html,252,952,260,118,1530
162,Edward_Trenk.html,251,919,272,124,1567
163,Thomas_Trenk.html,263,969,292,137,1696
164,James_Trigilio.html,261,947,287,132,1634
165,Hugh_Williams.html,248,NA,272,115,1633
167,Saqlain_Anjum.html,NA,997,289,NA,1653
168,Sam_Benham.html,238,971,261,119,1659
169,Jack_Blanchfield.html,251,947,269,NA,1650
170,Brendan_Burm.html,247,949,279,NA,1656
171,Evan_Farnan.html,NA,NA,293,120,1749
172,Tyler_Johnson.html,NA,NA,NA,115,1577
173,Jonathan_Lischetti.html,255,NA,274,121,1587
174,Calix_McCormick.html,251,NA,276,120,1630
175,Quinlan_McGlame.html,263,NA,304,126,1686
176,Dolan_Pols.html,244,988,280,122,1629
177,Kevin_Rogers.html,244,921,273,NA,1565
178,Teddy_Salamone.html,255,NA,284,131,1665
179,Larson_Sippel.html,244,NA,280,113,1554
180,T.J._Sparno.html,250,978,280,NA,1621
181,Alex_Willard.html,277,963,NA,NA,1657
184,Amokrane_Aouchiche.html,252,869,NA,NA,1479
185,Luke_Brennan.html,249,888,271,NA,1493
186,Matt_Burdulis.html,NA,958,NA,NA,1642
187,Lucas_Chang.html,NA,950,NA,NA,1610
188,Calvin_Cummings.html,251,896,271,122,1487
189,Will_Cusato.html,237,NA,261,114,1573
190,Simon_Donovan.html,238,NA,266,118,1557
191,Jacob_Fippin.html,NA,901,NA,NA,1515
192,Alex_Friedman.html,237,898,260,119,1492
193,Gabe_Grove.html,259,914,NA,130,1546
194,Harris_Gulbransen.html,NA,880,NA,NA,1526
195,Quinn_Hampson.html,231,881,258,116,1500
196,Meba_Henok.html,246,NA,NA,112,1586
197,Jackson_Kiefer.html,269,NA,NA,121,1668
198,Lucas_Klein.html,259,993,273,NA,1656
199,Charlie_Krebs.html,251,NA,286,124,1699
200,Sam_Kurian.html,245,NA,NA,112,1580
201,Aidan_Max.html,252,921,NA,130,1505
202,Cullen_McCaleb.html,236,952,256,NA,1540
203,Ryan_Regan.html,NA,NA,NA,116,1631
204,Jonah_Reisner.html,239,856,257,119,1492
205,Avery_Smart.html,NA,899,NA,NA,1501
206,Ben_Stratton.html,245,NA,273,124,1707
207,Ryder_Want.html,NA,NA,NA,118,1660
210,Zach_Allen.html,239,908,262,NA,1556
211,Sam_Aronow.html,257,NA,295,134,1677
212,Calder_Burke.html,254,940,265,128,1567
213,Liam_Calhoun.html,235,854,253,NA,1503
214,Thomas_Chun.html,247,NA,265,122,1612
215,Dylan_Cote.html,237,897,NA,NA,1506
216,Robert_D'Aquila_.html,237,957,254,114,1587
217,Nathan_Fogarty.html,238,NA,257,112,1527
218,Philip_Keith.html,263,921,286,132,1552
219,Alexander_Kermath.html,240,899,259,119,1491
220,Alex_Lara.html,250,NA,282,122,1587
221,Bruce_Lenes.html,237,934,257,118,1563
222,George_Lepska.html,237,NA,261,111,1580
223,Coleman_Love.html,252,955,277,129,1615
224,Noah_Mahoney.html,250,888,265,128,1497
225,Ben_McKinney.html,254,967,265,124,1578
226,Jude_Mourad.html,254,987,281,124,1705
227,Evan_O'Rourke.html,259,972,283,NA,1622
229,Ben__Taffet.html,255,NA,278,117,1731
230,Will_Wise.html,249,907,264,122,1528
233,Henry_Alexander.html,251,901,NA,121,1562
234,Avery_Allen.html,247,909,NA,124,1544
235,Rex_Bedwick.html,261,945,NA,NA,1700
236,Blake_Biever.html,247,978,286,122,1623
237,Victor_Cazabal.html,247,988,275,128,1559
238,Leo_Cooper.html,NA,NA,267,114,1716
239,Duncan_DeProfio.html,258,948,282,NA,1599
240,Charles_Dybala.html,249,NA,NA,113,1687
241,Tom_Emery.html,230,NA,257,114,1607
242,Ryan_Hardiman.html,NA,NA,NA,118,1486
243,Keiyu_Mamiya.html,231,NA,260,115,1506
244,Jackson_McFerron.html,258,960,NA,NA,1692
245,Charles_Namiot.html,242,849,264,125,1451
246,Emil_Nelson.html,235,872,NA,120,1567
247,Malcolm_Oakes.html,241,869,NA,120,1498
248,Henry_Reinke.html,249,NA,279,114,1682
249,Luke_Rostan.html,256,NA,281,NA,1657
250,Ethan_Striff-Cave.html,242,950,264,121,1585
251,Grahm_Tuohy_Gaydos.html,NA,840,257,NA,1447
252,Eli_Welch.html,245,890,NA,NA,1507
253,Rick_Yanashita.html,240,875,261,122,1480
