"","name_id","1500","5000","MILE","800","8k","8K (XC)"
"71","Kyle_Verner.html","4:18.77","15:52.56","4:46.41",NA,NA,"26:13.2"
"72","Henry_Welch.html","4:04.14","16:14.67","4:25.69","2:04.92",NA,"26:34.6"
"73","Andrew_Hoffman.html",NA,NA,NA,NA,NA,"26:58.3"
"74","Ben_Bockmann.html","4:08.13","15:35.73","4:45.22",NA,NA,"25:59.3"
"75","Calvin_Burke.html","4:14.82",NA,"4:54.14","2:06.27",NA,"28:25.0"
"76","Addison_Davis.html","4:13.13","15:52.32","4:31.94",NA,NA,"26:16.8"
"77","Will_Downs.html","4:09.54",NA,"4:40.87","2:06.41",NA,"27:08.2"
"78","Will_Goddard.html","3:49.27","14:36.13","4:08.96","1:55.76",NA,"24:20.8"
"79","Calvin_Klumpp.html","4:24.39",NA,NA,"2:00.25",NA,"28:53.1"
"80","Axel_Nzi.html","4:15.62",NA,"4:37.39",NA,NA,"27:18.9"
"81","Adam_O'Connor.html","4:17.86",NA,"4:29.93","2:03.46",NA,"27:03.2"
"82","Oliver_Brandes.html",NA,NA,NA,NA,NA,"25:46.4"
"83","Cameron_Coffey.html",NA,NA,NA,NA,NA,"27:49.1"
"84","Paul_Conti.html",NA,NA,NA,NA,NA,"28:43.5"
"85","Ashton_Dunlap.html",NA,NA,NA,NA,NA,"25:54.2"
"86","Grady_Etheridge.html",NA,NA,NA,NA,NA,"28:03.0"
"87","Spencer_Gibson.html",NA,NA,NA,NA,NA,"27:41.3"
"88","Dylan_Herring.html",NA,NA,NA,NA,NA,"27:01.6"
"89","Seamus_McDonough.html",NA,NA,NA,NA,NA,"25:27.7"
"90","Nicholas_Mott.html",NA,NA,NA,NA,NA,"26:28.8"
"91","Matthew_Servin.html",NA,NA,NA,NA,NA,"25:17.0"
"92","Aidan_Singer.html",NA,NA,NA,NA,NA,"27:52.6"
"93","Richard_Toledo.html",NA,NA,NA,NA,NA,"28:09.6"
"94","Zai_Yang.html",NA,NA,NA,NA,NA,"27:11.8"
"95","Max_Adam.html",NA,"16:53.50",NA,NA,NA,"26:31.7"
"96","Wilson_Bailey.html",NA,NA,"4:38.87",NA,NA,"27:36.9"
"97","Alex_Bingham.html",NA,NA,"4:52.80","2:05.25",NA,"33:08.3"
"98","Brady_Clegg.html","4:07.33","15:38.58","4:35.41",NA,NA,"26:51.7"
"99","Will_Eckes.html","4:36.12","17:00.72","4:32.94",NA,NA,"26:54.4"
"100","Greydon_Gavin.html","4:07.83","15:37.38","4:31.47",NA,NA,"26:55.5"
"101","Nate_Goodman.html","4:16.05",NA,"4:41.00","2:06.18",NA,"26:56.6"
"102","Chris_Gould.html","4:12.71","15:14.72","4:23.02","2:03.32",NA,"24:49.7"
"103","Kevin__Gustafson.html",NA,NA,NA,"1:58.02",NA,"27:23.9"
"104","Liam_McGoldrick.html","4:13.62",NA,"4:23.09","1:58.05",NA,"26:13.6"
"105","Hugh_McGuire.html","4:24.42","16:06.25","4:36.33","2:08.25",NA,"26:29.0"
"106","Will__Parker.html","4:17.24",NA,"4:44.19","2:04.70",NA,"27:29.0"
"107","Henry_Reichle.html","3:52.81",NA,"4:16.67","1:54.11",NA,"25:37.6"
"108","Danny_Reyes.html","4:18.03","15:32.18","4:29.55","2:05.45",NA,"25:38.0"
"109","Thomas_Speltz.html","3:56.45",NA,"4:28.73","1:59.40",NA,"26:11.5"
"110","Stephen_White.html","3:56.59","14:53.31","4:25.34",NA,NA,"26:09.1"
"111","Eli__Ziegler.html",NA,NA,"4:22.87",NA,NA,"26:11.7"
"112","Michael_Bligh.html",NA,NA,NA,NA,NA,"26:49.2"
"113","TJ_Collins.html",NA,NA,NA,NA,NA,"28:06.6"
"114","Andrew_Davis.html",NA,NA,NA,NA,NA,"29:45.3"
"115","Gordon_Doore.html",NA,NA,NA,NA,NA,"25:02.9"
"116","Dax_Arnold.html","4:14.88",NA,NA,NA,NA,"29:13.9"
"117","Joshua_Barzilai.html","4:13.54",NA,NA,NA,NA,"26:41.6"
"118","Anthony_Belford.html","4:13.80","16:18.90","4:38.09","2:00.05",NA,"26:07.1"
"119","Jacob_Bright.html","4:15.40",NA,"4:38.79","2:03.89",NA,"28:14.8"
"120","Brendan_Capodanno.html","4:11.20","15:30.04","4:30.89",NA,NA,"27:38.2"
"121","Mike_Creutz.html","4:53.13","17:07.25","4:56.49",NA,NA,"28:37.6"
"122","Nicholas_DeMarco.html","4:15.19","15:20.18","4:45.70",NA,NA,"26:53.0"
"123","Malcolm_Frank-McKnight.html",NA,NA,"4:43.68","2:01.41",NA,NA
"124","Harry_Harwood.html","3:54.29",NA,"4:11.69","1:57.15",NA,"25:57.5"
"125","David_Iacino.html","4:20.59",NA,NA,"1:58.33",NA,NA
"126","Ellis_Iurilli-Hough.html","4:14.72","15:00.36","4:26.50",NA,NA,"25:48.2"
"127","Maxwell_Jervey.html","4:16.77","16:38.82","4:41.60",NA,NA,"28:37.3"
"128","Kevin_Lieue.html","4:15.74",NA,NA,"1:58.27",NA,"27:52.3"
"129","Aaron_Longbrake.html","4:24.40","17:00.71","4:41.34",NA,NA,"27:34.0"
"130","Henry_Pfeifer.html","4:21.44",NA,"4:34.41","1:58.51",NA,"29:16.1"
"131","Deem_Quinn.html","4:14.47","15:53.62","4:36.98","2:06.78",NA,"26:41.9"
"132","Blake_Rogers.html","4:12.54","15:24.57","4:32.61","2:08.46",NA,"26:26.6"
"133","Alex_Santos-Acosta.html","4:24.42",NA,"4:38.67",NA,NA,"26:50.0"
"134","Matt_Scardigno.html","3:55.70","14:10.55","4:17.47","2:02.25",NA,"24:50.9"
"135","Wesley_Schreiber.html",NA,NA,NA,"2:06.39",NA,"29:27.1"
"136","Ronan_Staab.html","4:28.37","16:29.25","4:35.53",NA,NA,"26:46.0"
"137","Zach_Stoddard.html","4:21.43","15:45.76","4:30.34",NA,NA,"26:21.4"
"138","Ozan_Turner.html","4:31.18","16:40.61","4:53.02",NA,NA,"29:27.3"
"139","Noah_Vernick.html","4:39.11",NA,"4:54.39","2:01.38",NA,"30:36.9"
"140","Neil__Bowie.html",NA,NA,NA,NA,NA,"28:00.3"
"141","Sean_Evans.html",NA,NA,NA,NA,NA,"28:11.5"
"142","Ari_Kaplan-Benjamin.html",NA,NA,NA,NA,NA,"29:40.1"
"143","Lucas_Vasquez.html",NA,NA,NA,NA,NA,"26:44.4"
"144","Sam_Walker.html",NA,NA,NA,NA,NA,"26:58.7"
"145","Brady_Armstrong.html","4:11.28","15:55.55","4:27.57","1:57.77",NA,"26:17.9"
"146","Alexander__Badami.html","4:04.21","15:44.94","4:30.41","2:03.92",NA,"25:04.1"
"147","Jeremy_Bywater.html","4:17.26",NA,"4:41.40","2:06.78",NA,"27:33.5"
"148","Liam_Card.html","4:13.34","15:56.14","4:40.55","2:05.94",NA,"26:40.3"
"149","Garrett_Cordova-Caddes.html","4:24.19",NA,"4:41.01","2:06.72",NA,"27:43.3"
"150","Owen_Dennen.html","4:25.33",NA,NA,"2:07.15",NA,"29:28.9"
"151","Luke_Dennis.html","4:20.86",NA,"4:33.15","2:04.87",NA,"28:50.5"
"152","Henry_Ebben.html","4:14.39","15:39.00","4:37.89","2:03.91",NA,"27:15.7"
"153","Ellis_Goodson.html","4:08.28",NA,"4:46.82","1:57.96",NA,"27:27.8"
"154","John_Graziani.html","4:23.83","15:42.27","4:37.02","2:15.22",NA,"28:07.7"
"155","Andrew_Greden.html","4:27.56","15:52.05",NA,NA,NA,"27:05.8"
"156","Benjamin_Habler.html","4:20.97",NA,"4:33.99","2:03.33",NA,"26:35.0"
"157","Zed_McNaughton.html","4:14.34","16:18.87","4:39.23","2:05.72",NA,"27:25.0"
"158","Nicholas_McPherson.html","4:17.34","15:55.99","4:35.93",NA,NA,"27:12.2"
"159","Tillman_Peters.html","4:24.55",NA,"4:45.87",NA,NA,"27:41.0"
"160","John_Quinn.html","3:59.30",NA,"4:21.68","1:57.08",NA,"25:43.7"
"161","Joseph_Simeone.html","4:12.56","15:52.76","4:20.81","1:58.33",NA,"25:30.8"
"162","Edward_Trenk.html","4:11.54","15:19.50","4:32.12","2:04.14",NA,"26:07.8"
"163","Thomas_Trenk.html","4:23.82","16:09.40","4:52.99","2:17.64",NA,"28:16.9"
"164","James_Trigilio.html","4:21.74","15:47.85","4:47.13","2:12.22",NA,"27:14.3"
"165","Hugh_Williams.html","4:08.00",NA,"4:32.96","1:55.15",NA,"27:13.0"
"166","Andrew_Richardson.html",NA,NA,NA,NA,NA,"26:07.2"
"167","Saqlain_Anjum.html",NA,"16:37.24","4:49.69",NA,NA,"27:33.3"
"168","Sam_Benham.html","3:58.33","16:11.85","4:21.62","1:59.90",NA,"27:39.3"
"169","Jack_Blanchfield.html","4:11.59","15:47.28","4:29.13",NA,NA,"27:30.3"
"170","Brendan_Burm.html","4:07.93","15:49.99","4:39.37",NA,NA,"27:36.8"
"171","Evan_Farnan.html",NA,NA,"4:53.99","2:00.41",NA,"29:09.8"
"172","Tyler_Johnson.html",NA,NA,NA,"1:55.40",NA,"26:17.3"
"173","Jonathan_Lischetti.html","4:15.12",NA,"4:34.78","2:01.02",NA,"26:27.3"
"174","Calix_McCormick.html","4:11.92",NA,"4:36.71","2:00.80",NA,"27:10.2"
"175","Quinlan_McGlame.html","4:23.03",NA,"5:04.87","2:06.31",NA,"28:06.0"
"176","Dolan_Pols.html","4:04.67","16:28.40","4:40.75","2:02.97",NA,"27:09.1"
